Protein_1,Protein_2,ID.x,ID.y,clustID,avg_score,class,jaccard
O15498,O14662,YKT6,STX16,huMAP3_08929.1,-1.30123722404602,,0.51063829787234
O15498,O15155,YKT6,BET1,huMAP3_06458.1,-0.105533415364384,,0.369230769230769
O15498,O15155,YKT6,BET1,huMAP3_08929.1,-0.105533415364384,,0.369230769230769
O15498,O15400,YKT6,STX7,huMAP3_00053.1,-1.09516686807339,,0.407894736842105
O15498,O15400,YKT6,STX7,huMAP3_06458.1,-1.00495190713523,,0.407894736842105
O15498,O15400,YKT6,STX7,huMAP3_08929.1,-1.01693121302941,,0.407894736842105
O15511,O15143,ARPC5,ARPC1B,huMAP3_04814.1,0.834852094559767,,0.36
O15511,O15143,ARPC5,ARPC1B,huMAP3_07760.1,1.56859120606715,,0.36
O15511,O15144,ARPC5,ARPC2,huMAP3_04814.1,1.56236580330824,structurally_consistent,0.43298969072165
O15511,O15145,ARPC5,ARPC3,huMAP3_04814.1,1.70231560032198,,0.362637362637363
O15511,O15145,ARPC5,ARPC3,huMAP3_07760.1,1.82404651891795,,0.362637362637363
O15514,O00267,POLR2D,SUPT5H,huMAP3_04499.1,-0.0690106364874153,,0.148148148148148
O15514,O00267,POLR2D,SUPT5H,huMAP3_07454.1,-0.125815944735002,,0.148148148148148
O15514,O00267,POLR2D,SUPT5H,huMAP3_07749.1,-0.125815944735002,,0.148148148148148
O43172,O14744,PRPF4,PRMT5,huMAP3_06511.1,-0.193479169943193,,0.2
O43172,O14744,PRPF4,PRMT5,huMAP3_08980.1,-0.216603951086527,,0.2
O43172,O14893,PRPF4,GEMIN2,huMAP3_06511.1,-0.646544351875677,,0.368421052631579
O43172,O14893,PRPF4,GEMIN2,huMAP3_08980.1,-0.646544351875677,,0.368421052631579
O43172,O15116,PRPF4,LSM1,huMAP3_08980.1,-0.480184290858621,,0.406593406593407
O43175,O14981,PHGDH,BTAF1,huMAP3_08847.1,0.0413178328930543,,0.0222222222222222
O43181,O00217,NDUFS4,NDUFS8,huMAP3_02819.1,0.641243089910264,,0.466666666666667
O43181,O00217,NDUFS4,NDUFS8,huMAP3_06397.1,0.813383769620767,,0.466666666666667
O43181,O00217,NDUFS4,NDUFS8,huMAP3_08132.1,0.718326157177302,,0.466666666666667
O43181,O14561,NDUFS4,NDUFAB1,huMAP3_02819.1,0.486582444496235,,0.233333333333333
O43181,O14561,NDUFS4,NDUFAB1,huMAP3_06397.1,0.585223704512476,,0.233333333333333
O43242,O00231,PSMD3,PSMD11,huMAP3_05064.1,0.777053697891517,,0.746666666666667
O43242,O00232,PSMD3,PSMD12,huMAP3_05064.1,1.15382804883256,,0.6875
O43242,O00487,PSMD3,PSMD14,huMAP3_05064.1,0.877913275612648,structurally_consistent,0.776315789473684
O43264,A2RRP1,ZW10,NBAS,huMAP3_03203.1,-0.135677097281265,,0.223529411764706
O43264,A2RRP1,ZW10,NBAS,huMAP3_06458.1,-0.129760613863283,,0.223529411764706
O43264,A2RRP1,ZW10,NBAS,huMAP3_08929.1,-0.176052772456286,,0.223529411764706
O43264,O00161,ZW10,SNAP23,huMAP3_06458.1,-0.973342307860825,,0.114035087719298
O43264,O00161,ZW10,SNAP23,huMAP3_08929.1,-1.01631611966112,,0.114035087719298
O43264,O14653,ZW10,GOSR2,huMAP3_03203.1,-0.255682127226418,,0.188679245283019
O43264,O14653,ZW10,GOSR2,huMAP3_06458.1,-0.255682127226418,,0.188679245283019
O43264,O14653,ZW10,GOSR2,huMAP3_08929.1,-0.255682127226418,,0.188679245283019
O43264,O14662,ZW10,STX16,huMAP3_06458.1,-1.24118529781064,,0.146341463414634
O43264,O14662,ZW10,STX16,huMAP3_08929.1,-1.35645039635058,,0.146341463414634
O43264,O15155,ZW10,BET1,huMAP3_03203.1,-0.815377238795959,,0.191489361702128
O43264,O15155,ZW10,BET1,huMAP3_06458.1,-0.815377238795959,,0.191489361702128
O43264,O15155,ZW10,BET1,huMAP3_08929.1,-0.815377238795959,,0.191489361702128
O43264,O15400,ZW10,STX7,huMAP3_06458.1,-1.14851824961075,,0.181818181818182
O43264,O15400,ZW10,STX7,huMAP3_08929.1,-1.1892851765761,,0.181818181818182
O43264,O15498,ZW10,YKT6,huMAP3_06458.1,-0.00338777114923054,,0.161616161616162
O43264,O15498,ZW10,YKT6,huMAP3_08929.1,0.104428565545123,,0.161616161616162
O43290,O14744,SART1,PRMT5,huMAP3_06511.1,-0.589224580920295,,0.171171171171171
O43290,O14744,SART1,PRMT5,huMAP3_08980.1,-0.468498632639105,,0.171171171171171
O43290,O14893,SART1,GEMIN2,huMAP3_06511.1,-0.760958496006765,,0.321428571428571
O43290,O14893,SART1,GEMIN2,huMAP3_08980.1,-0.760958496006765,,0.321428571428571
O43290,O15116,SART1,LSM1,huMAP3_08980.1,-0.229705927231664,mutually_exclusive,0.379310344827586
O43290,O43172,SART1,PRPF4,huMAP3_06511.1,0.66531714833269,,0.537037037037037
O43290,O43172,SART1,PRPF4,huMAP3_08980.1,0.70318985172392,,0.537037037037037
O43324,O00560,EEF1E1,SDCBP,huMAP3_02637.1,-0.498822315051056,,0.15
O43390,O14979,HNRNPR,HNRNPDL,huMAP3_07581.1,0.273610539478147,,0.207729468599034
O43395,O14744,PRPF3,PRMT5,huMAP3_06511.1,-0.23715658135435,,0.210526315789474
O43395,O14744,PRPF3,PRMT5,huMAP3_08980.1,-0.348791585872313,,0.210526315789474
O43395,O14893,PRPF3,GEMIN2,huMAP3_06511.1,-0.573887099051345,,0.380530973451327
O43395,O14893,PRPF3,GEMIN2,huMAP3_08980.1,-0.573887099051345,,0.380530973451327
O43395,O15116,PRPF3,LSM1,huMAP3_08980.1,-0.639979992346303,,0.391304347826087
O43395,O43172,PRPF3,PRPF4,huMAP3_06511.1,1.17889721041787,,0.705882352941177
O43395,O43172,PRPF3,PRPF4,huMAP3_08980.1,1.19109130457525,,0.705882352941177
O43395,O43290,PRPF3,SART1,huMAP3_06511.1,0.180170357945931,structurally_consistent,0.566037735849057
O43395,O43290,PRPF3,SART1,huMAP3_08980.1,0.232728773643542,structurally_consistent,0.566037735849057
O43447,O14744,PPIH,PRMT5,huMAP3_06511.1,0.849287624601105,,0.269662921348315
O43447,O14744,PPIH,PRMT5,huMAP3_08980.1,0.775584580604288,,0.269662921348315
O43447,O14893,PPIH,GEMIN2,huMAP3_04549.1,-0.50096746789823,,0.471910112359551
O43447,O14893,PPIH,GEMIN2,huMAP3_06511.1,-0.50096746789823,,0.471910112359551
O43447,O14893,PPIH,GEMIN2,huMAP3_08980.1,-0.50096746789823,,0.471910112359551
O43447,O15116,PPIH,LSM1,huMAP3_08980.1,0.620455138948739,,0.430555555555556
O43447,O43172,PPIH,PRPF4,huMAP3_06511.1,0.282829145033549,,0.536082474226804
O43447,O43172,PPIH,PRPF4,huMAP3_08980.1,0.311747552848999,,0.536082474226804
O43447,O43290,PPIH,SART1,huMAP3_06511.1,0.151767516670901,,0.438775510204082
O43447,O43290,PPIH,SART1,huMAP3_08980.1,0.213406056032412,,0.438775510204082
O43447,O43395,PPIH,PRPF3,huMAP3_06511.1,0.386804052573375,,0.520408163265306
O43447,O43395,PPIH,PRPF3,huMAP3_08980.1,0.335035650241602,,0.520408163265306
O43491,O00422,EPB41L2,SAP18,huMAP3_08365.1,-0.873421016800806,,0.0588235294117647
O43516,A1X283,WIPF1,SH3PXD2B,huMAP3_07569.1,-1.5166226153724,,0.111111111111111
O43516,O00401,WIPF1,WASL,huMAP3_03586.1,-1.89127280722528,,0.25
O43516,O00401,WIPF1,WASL,huMAP3_05054.1,-1.89127280722528,,0.25
O43516,O00401,WIPF1,WASL,huMAP3_07569.1,-1.89127280722528,,0.25
O43592,O14980,XPOT,XPO1,huMAP3_06791.1,1.26161695921632,,0.5625
O43592,O14980,XPOT,XPO1,huMAP3_07170.1,1.04645699245988,,0.5625
O43592,O14980,XPOT,XPO1,huMAP3_08764.1,0.717077867070068,,0.5625
O43592,O15321,XPOT,TM9SF1,huMAP3_06791.1,-1.97093610054706,,0.278236914600551
O43602,O15075,DCX,DCLK1,huMAP3_01265.1,0.735166096803047,,0.0434782608695652
O43602,O15075,DCX,DCLK1,huMAP3_03760.1,0.735166096803047,,0.0434782608695652
O43602,O15075,DCX,DCLK1,huMAP3_08108.1,0.735166096803047,,0.0434782608695652
O43639,A1X283,NCK2,SH3PXD2B,huMAP3_00870.1,-0.371535516208486,,0.0517241379310345
O43639,A1X283,NCK2,SH3PXD2B,huMAP3_07569.1,-0.371535516208486,,0.0517241379310345
O43639,O00401,NCK2,WASL,huMAP3_07569.1,0.195979642490791,,0.294117647058824
O43639,O43516,NCK2,WIPF1,huMAP3_07569.1,-0.965988820924649,,0.0816326530612245
O43639,O43516,NCK2,WIPF1,huMAP3_08747.1,-0.965988820924649,,0.0816326530612245
O43674,O00217,NDUFB5,NDUFS8,huMAP3_06397.1,0.352227968132941,,0.385964912280702
O43674,O00217,NDUFB5,NDUFS8,huMAP3_08132.1,0.231926410446846,,0.385964912280702
O43674,O14561,NDUFB5,NDUFAB1,huMAP3_06397.1,0.0364934794544684,,0.274509803921569
O43674,O43181,NDUFB5,NDUFS4,huMAP3_06397.1,0.451321030034898,structurally_consistent,0.452631578947368
O43674,O43181,NDUFB5,NDUFS4,huMAP3_08132.1,0.203321673286587,structurally_consistent,0.452631578947368
O43676,O00217,NDUFB3,NDUFS8,huMAP3_02819.1,0.75677055930091,structurally_consistent,0.385321100917431
O43676,O00217,NDUFB3,NDUFS8,huMAP3_02928.1,0.664603230926047,structurally_consistent,0.385321100917431
O43676,O00217,NDUFB3,NDUFS8,huMAP3_06397.1,0.875162311535473,structurally_consistent,0.385321100917431
O43676,O00217,NDUFB3,NDUFS8,huMAP3_08132.1,0.801783392220033,structurally_consistent,0.385321100917431
O43676,O14561,NDUFB3,NDUFAB1,huMAP3_02819.1,-0.145117960942139,,0.294736842105263
O43676,O14561,NDUFB3,NDUFAB1,huMAP3_06397.1,-0.0800735440720551,,0.294736842105263
O43676,O43181,NDUFB3,NDUFS4,huMAP3_02819.1,0.877734978534915,,0.523255813953488
O43676,O43181,NDUFB3,NDUFS4,huMAP3_06397.1,0.873372062268199,,0.523255813953488
O43676,O43181,NDUFB3,NDUFS4,huMAP3_08132.1,0.859712211613248,,0.523255813953488
O43676,O43674,NDUFB3,NDUFB5,huMAP3_06397.1,0.678124414713731,structurally_consistent,0.614285714285714
O43676,O43674,NDUFB3,NDUFB5,huMAP3_08132.1,0.590019273506983,structurally_consistent,0.614285714285714
O43678,O00217,NDUFA2,NDUFS8,huMAP3_02819.1,0.892783213755848,structurally_consistent,0.355371900826446
O43678,O00217,NDUFA2,NDUFS8,huMAP3_06397.1,0.957852682592368,structurally_consistent,0.355371900826446
O43678,O00217,NDUFA2,NDUFS8,huMAP3_08132.1,0.969397891879141,structurally_consistent,0.355371900826446
O43678,O14561,NDUFA2,NDUFAB1,huMAP3_02819.1,0.38292069576936,,0.283018867924528
O43678,O14561,NDUFA2,NDUFAB1,huMAP3_06397.1,0.499040348678054,,0.283018867924528
O43678,O43181,NDUFA2,NDUFS4,huMAP3_02819.1,1.75832276338847,structurally_consistent,0.398058252427184
O43678,O43181,NDUFA2,NDUFS4,huMAP3_06397.1,1.61531159745359,structurally_consistent,0.398058252427184
O43678,O43181,NDUFA2,NDUFS4,huMAP3_08132.1,1.50343859310871,structurally_consistent,0.398058252427184
O43678,O43674,NDUFA2,NDUFB5,huMAP3_06397.1,0.139744083507901,,0.431818181818182
O43678,O43674,NDUFA2,NDUFB5,huMAP3_08132.1,0.134033422815886,,0.431818181818182
O43678,O43676,NDUFA2,NDUFB3,huMAP3_02819.1,0.531839526389652,,0.469135802469136
O43678,O43676,NDUFA2,NDUFB3,huMAP3_06397.1,0.51988966105345,,0.469135802469136
O43678,O43676,NDUFA2,NDUFB3,huMAP3_08132.1,0.543586577528784,,0.469135802469136
O43681,O14545,GET3,TRAFD1,huMAP3_00329.1,-0.304301329906155,,0.153846153846154
O43681,O14545,GET3,TRAFD1,huMAP3_08766.1,-0.304301329906155,,0.153846153846154
O43707,O00151,ACTN4,PDLIM1,huMAP3_05719.1,0.209081591220376,,0.0198019801980198
O43709,O15523,BUD23,DDX3Y,huMAP3_08003.1,-1.10571183810952,,0.102040816326531
O43716,A3KMH1,GATC,VWA8,huMAP3_07867.1,-0.798131496670655,,0.0232558139534884
O43719,O14744,HTATSF1,PRMT5,huMAP3_06511.1,0.024800175320807,,0.141592920353982
O43719,O14744,HTATSF1,PRMT5,huMAP3_08980.1,0.105898372660893,,0.141592920353982
O43719,O14893,HTATSF1,GEMIN2,huMAP3_04549.1,-0.25344888791473,,0.185483870967742
O43719,O14893,HTATSF1,GEMIN2,huMAP3_06511.1,-0.25344888791473,,0.185483870967742
O43719,O14893,HTATSF1,GEMIN2,huMAP3_08980.1,-0.25344888791473,,0.185483870967742
O43719,O15042,HTATSF1,U2SURP,huMAP3_08220.1,-0.584388492551319,,0.246666666666667
O43719,O15116,HTATSF1,LSM1,huMAP3_08980.1,0.486967293257312,,0.091743119266055
O43719,O43172,HTATSF1,PRPF4,huMAP3_06511.1,-0.278849550072443,,0.204379562043796
O43719,O43172,HTATSF1,PRPF4,huMAP3_08980.1,-0.253522971294285,,0.204379562043796
O43719,O43290,HTATSF1,SART1,huMAP3_06511.1,-0.211350663208781,,0.198473282442748
O43719,O43290,HTATSF1,SART1,huMAP3_08980.1,-0.197127643085393,,0.198473282442748
O43719,O43395,HTATSF1,PRPF3,huMAP3_06511.1,-0.250679129218735,,0.23134328358209
O43719,O43395,HTATSF1,PRPF3,huMAP3_08980.1,-0.313985517874019,,0.23134328358209
O43719,O43447,HTATSF1,PPIH,huMAP3_04549.1,0.0398586611333487,,0.228070175438597
O43719,O43447,HTATSF1,PPIH,huMAP3_06511.1,0.0533781470622821,,0.228070175438597
O43719,O43447,HTATSF1,PPIH,huMAP3_08980.1,-0.00848625715984003,,0.228070175438597
O43752,A2RRP1,STX6,NBAS,huMAP3_06458.1,-0.445033866893717,,0.516129032258065
O43752,A2RRP1,STX6,NBAS,huMAP3_08929.1,-0.520161126730316,,0.516129032258065
O43752,O00161,STX6,SNAP23,huMAP3_06458.1,-0.548325567668714,,0.3
O43752,O00161,STX6,SNAP23,huMAP3_08929.1,-0.555758876914528,,0.3
O43752,O14653,STX6,GOSR2,huMAP3_06458.1,-0.54954899506048,,0.397590361445783
O43752,O14653,STX6,GOSR2,huMAP3_08929.1,-0.54954899506048,,0.397590361445783
O43752,O14662,STX6,STX16,huMAP3_06458.1,0.7678671932517,,0.4
O43752,O14662,STX6,STX16,huMAP3_08929.1,0.784940804056377,,0.4
O43752,O15155,STX6,BET1,huMAP3_06458.1,-0.905563082305616,,0.436619718309859
O43752,O15155,STX6,BET1,huMAP3_08929.1,-0.905563082305616,,0.436619718309859
O43752,O15400,STX6,STX7,huMAP3_06458.1,-0.371039530132183,,0.538461538461538
O43752,O15400,STX6,STX7,huMAP3_08929.1,-0.208462795494786,,0.538461538461538
O43752,O15498,STX6,YKT6,huMAP3_06458.1,-1.29366219587671,,0.418918918918919
O43752,O15498,STX6,YKT6,huMAP3_08929.1,-1.27681779344272,,0.418918918918919
