clustID,cluster_confidence,uniprotACCs
huMAP3_00178.1,1,P01031 P02656 P02753 P08185 P08697 P0DJI9 P19827 P35542 Q5VVX9
huMAP3_00179.1,1,Q32MZ4 Q9NYL9
huMAP3_00180.1,1,Q6XQN6 Q9UI08
huMAP3_00181.1,1,Q01664 Q8WUT9
huMAP3_00182.1,1,P0CF97 Q8TCP9
huMAP3_00183.1,1,O00507 O75346 Q5TGI0 Q6P3X8
huMAP3_00184.1,1,O76083 O95238 Q13237 Q13432 Q5T686 Q717R9 Q969K3 Q96DX4 Q96QS6 Q9ULE6
huMAP3_00185.1,1,Q9NP59 Q9UBM1
huMAP3_00186.1,1,Q96N38 Q9UK11
huMAP3_00187.1,1,Q15848 Q9BXJ3
huMAP3_00188.1,1,P54725 P54727
huMAP3_00189.1,1,P56945 Q8N5H7
huMAP3_00190.1,1,P49917 Q0D2I5 Q13426 Q5TF58
huMAP3_00191.1,1,P20849 Q9BZL4
huMAP3_00192.1,1,P53673 Q05BV3 Q9NQB0
huMAP3_00193.1,1,O94806 Q15139 Q9BZL6
huMAP3_00194.1,1,Q15274 Q15652 Q9H2X6 Q9Y4B4
huMAP3_00195.1,1,O43174 Q9BQ31
huMAP3_00196.1,1,O75310 P36537 Q9BY64
huMAP3_00197.1,1,P08621 Q13595
huMAP3_00198.1,1,P40199 Q5T655 Q8IYF1
huMAP3_00199.1,1,Q8IYX4 Q9UIC8
huMAP3_00200.1,1,Q8NAN2 Q9NRY2
huMAP3_00201.1,1,Q7L8J4 Q9NWX6
huMAP3_00202.1,1,P15586 Q8NFI3 Q9UK99
huMAP3_00203.1,1,P56937 Q8TBF5 Q96D31
huMAP3_00204.1,1,P31213 Q96FE7
huMAP3_00205.1,1,P13716 Q7LDG7 Q8WY91
huMAP3_00206.1,1,P28370 Q09028 Q12830 Q6NUJ5 Q96KM6
huMAP3_00207.1,1,P50552 Q15942 Q8N8S7 Q969T9 Q9P270 Q9Y6A5
huMAP3_00208.1,1,O94923 P08476 P30411 Q71RC9 Q9NU53
huMAP3_00209.1,1,P35658 Q9UBU9
