Cell_line	SIDM	Project_Identifier	Tissue_type	Cancer_type	Cancer_subtype
SW1463	SIDM00834	SIDM00834;SW1463	Large Intestine	Colorectal Carcinoma	Rectal adenocarcinoma
TGBC1TKB	SIDM00252	SIDM00252;TGBC1TKB	Biliary Tract	Biliary Tract Carcinoma	Gallbladder carcinoma
NCI-H64	SIDM01126	SIDM01126;NCI-H64	Lung	Small Cell Lung Carcinoma	
NCI-H2066	SIDM00711	SIDM00711;NCI-H2066	Lung	Non-Small Cell Lung Carcinoma	Squamous Cell Lung Carcinoma
LU-165	SIDM00292	SIDM00292;LU-165	Lung	Small Cell Lung Carcinoma	
SHP-77	SIDM01078	SIDM01078;SHP-77	Lung	Small Cell Lung Carcinoma	
Mo-T	SIDM00623	SIDM00623;Mo-T	Haematopoietic and Lymphoid	Hairy Cell Leukemia	Hairy Cell Leukemia
G-292-Clone-A141B1	SIDM00858	SIDM00858;G-292-Clone-A141B1	Bone	Osteosarcoma	
COR-L88	SIDM00506	SIDM00506;COR-L88	Lung	Small Cell Lung Carcinoma	
U-266	SIDM00417	SIDM00417;U-266	Haematopoietic and Lymphoid	Plasma Cell Myeloma	
LNZTA3WT4	SIDM01220	SIDM01220;LNZTA3WT4	Central Nervous System	Glioma	Low Grade Glioma
no-10	SIDM00574	SIDM00574;no-10	Central Nervous System	Glioblastoma	
SW948	SIDM00832	SIDM00832;SW948	Large Intestine	Colorectal Carcinoma	Colon adenocarcinoma
PCI-30	SIDM00044	SIDM00044;PCI-30	Head and Neck	Head and Neck Carcinoma	Tongue squamous cell carcinoma
MDA-MB-330	SIDM00631	SIDM00631;MDA-MB-330	Breast	Breast Carcinoma	Invasive Lobular Breast Carcinoma
ECC12	SIDM00279	SIDM00279;ECC12	Stomach	Gastric Carcinoma	Gastric small cell carcinoma
NK-92MI	SIDM01201	SIDM01201;NK-92MI	Haematopoietic and Lymphoid	Other Blood Cancers	Natural Killer Cell Lymphoblastic Leukemia or Lymphoma
NCI-H647	SIDM01125	SIDM01125;NCI-H647	Lung	Non-Small Cell Lung Carcinoma	Adenosquamous lung carcinoma
HLE	SIDM00064	SIDM00064;HLE	Liver	Hepatocellular Carcinoma	
Caov-3	SIDM00919	SIDM00919;Caov-3	Ovary	Ovarian Carcinoma	High grade ovarian serous adenocarcinoma
ECC10	SIDM00280	SIDM00280;ECC10	Stomach	Gastric Carcinoma	Gastic small cell neuroendocrine carcinoma
NCI-H69	SIDM01121	SIDM01121;NCI-H69	Lung	Small Cell Lung Carcinoma	
NCI-H2795	SIDM00154	SIDM00154;NCI-H2795	Lung	Mesothelioma	Pleural Epithelioid Mesothelioma
BPH-1	SIDM00964	SIDM00964;BPH-1	Prostate	Non-Cancerous	SV-40 Transformed Prostatic
HSC-3	SIDM00589	SIDM00589;HSC-3	Head and Neck	Head and Neck Carcinoma	Tongue Squamous Cell Carcinoma
RVH-421	SIDM00401	SIDM00401;RVH-421	Skin	Melanoma	
NB12	SIDM00258	SIDM00258;NB12	Peripheral Nervous System	Neuroblastoma	
