Cell_line	SIDM	Project_Identifier	Tissue_type	Cancer_type	Cancer_subtype
BC-1	SIDM00896	SIDM00896;BC-1	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Primary effusion lymphoma
L-363	SIDM00312	SIDM00312;L-363	Haematopoietic and Lymphoid	Plasma Cell Myeloma	
EoL-1-cell	SIDM00277	SIDM00277;EoL-1-cell	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Chronic Eosinophilic Leukemia
NCI-H727	SIDM01119	SIDM01119;NCI-H727	Lung	Carcinoid Tumour	Lung Carcinoid Tumor
MV-4-11	SIDM00657	SIDM00657;MV-4-11	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Acute Monocytic leukemia
HSC-39	SIDM00045	SIDM00045;HSC-39	Stomach	Gastric Carcinoma	Gastric signet ring cell adenocarcinoma
RPMI-8402	SIDM00403	SIDM00403;RPMI-8402	Haematopoietic and Lymphoid	T-Lymphoblastic Leukemia	Childhood T acute lymphoblastic leukemia
MDA-MB-453	SIDM00272	SIDM00272;MDA-MB-453	Breast	Breast Carcinoma	Breast adenocarcinoma
ES8	SIDM00261	SIDM00261;ES8	Bone	Ewing's Sarcoma	
NKM-1	SIDM00576	SIDM00576;NKM-1	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Adult Acute Myeloid Leukemia
KURAMOCHI	SIDM00554	SIDM00554;KURAMOCHI	Ovary	Ovarian Carcinoma	High grade ovarian serous adenocarcinoma
UACC-62	SIDM00107	SIDM00107;UACC-62	Skin	Melanoma	
Ca9-22	SIDM00489	SIDM00489;Ca9-22	Head and Neck	Head and Neck Carcinoma	Gingival squamous cell carcinoma
COLO-684	SIDM00142	SIDM00142;COLO-684	Endometrium	Endometrial Carcinoma	Endometrial adenocarcinoma
SW13	SIDM00814	SIDM00814;SW13	Adrenal Gland	Other Solid Carcinomas	Adrenal cortex carcinoma
SF539	SIDM00083	SIDM00083;SF539	Central Nervous System	Glioblastoma	
MDA-MB-175-VII	SIDM00633	SIDM00633;MDA-MB-175-VII	Breast	Breast Carcinoma	Invasive Ductal Carcinoma of No Special Type
NCI-H524	SIDM01129	SIDM01129;NCI-H524	Lung	Small Cell Lung Carcinoma	
BxPC-3	SIDM00132	SIDM00132;BxPC-3	Pancreas	Pancreatic Carcinoma	Pancreatic ductal adenocarcinoma
NCI-H847	SIDM01149	SIDM01149;NCI-H847	Lung	Small Cell Lung Carcinoma	
Hs-766T	SIDM00664	SIDM00664;Hs-766T	Pancreas	Pancreatic Carcinoma	Pancreatic adenocarcinoma
MSTO-211H	SIDM00640	SIDM00640;MSTO-211H	Lung	Mesothelioma	Pleural Biphasic Mesothelioma
LC4-1	SIDM00549	SIDM00549;LC4-1	Haematopoietic and Lymphoid	B-Lymphoblastic Leukemia	Childhood B acute lymphoblastic leukemia
PA-TU-8902	SIDM00455	SIDM00455;PA-TU-8902	Pancreas	Pancreatic Carcinoma	Pancreatic adenocarcinoma
VCaP	SIDM01077	SIDM01077;VCaP	Prostate	Prostate Carcinoma	
DAN-G	SIDM00950	SIDM00950;DAN-G	Pancreas	Pancreatic Carcinoma	Pancreatic adenocarcinoma
CAL-148	SIDM00938	SIDM00938;CAL-148	Breast	Breast Carcinoma	
DB	SIDM00886	SIDM00886;DB	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Diffuse large B-cell lymphoma
TGW	SIDM00324	SIDM00324;TGW	Peripheral Nervous System	Neuroblastoma	
WSU-NHL	SIDM00412	SIDM00412;WSU-NHL	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Follicular Lymphoma
SK-MEL-2	SIDM00082	SIDM00082;SK-MEL-2	Skin	Melanoma	
COR-L279	SIDM00511	SIDM00511;COR-L279	Lung	Small Cell Lung Carcinoma	
NCI-H1581	SIDM00748	SIDM00748;NCI-H1581	Lung	Non-Small Cell Lung Carcinoma	Lung large cell carcinoma
LAMA-84	SIDM00346	SIDM00346;LAMA-84	Haematopoietic and Lymphoid	Chronic Myelogenous Leukemia	
NCI-H3122	SIDM00137	SIDM00137;NCI-H3122	Lung	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
SK-PN-DW	SIDM01097	SIDM01097;SK-PN-DW	Other tissue	Other Solid Carcinomas	Primitive Neuroectodermal Tumor
MDA-MB-468	SIDM00628	SIDM00628;MDA-MB-468	Breast	Breast Carcinoma	Breast adenocarcinoma
RF-48	SIDM01092	SIDM01092;RF-48	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	
NAMALWA	SIDM00641	SIDM00641;NAMALWA	Haematopoietic and Lymphoid	Burkitt's Lymphoma	
Caov-4	SIDM00918	SIDM00918;Caov-4	Ovary	Ovarian Carcinoma	High grade ovarian serous adenocarcinoma
MS-1	SIDM00245	SIDM00245;MS-1	Lung	Small Cell Lung Carcinoma	
OCI-AML2	SIDM00446	SIDM00446;OCI-AML2	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Adult Acute Myeloid Leukemia
WM-115	SIDM01000	SIDM01000;WM-115	Skin	Melanoma	
SW1271	SIDM01156	SIDM01156;SW1271	Lung	Small Cell Lung Carcinoma	
LS-513	SIDM00677	SIDM00677;LS-513	Large Intestine	Colorectal Carcinoma	Cecum adenocarcinoma
Ca-Ski	SIDM00923	SIDM00923;Ca-Ski	Cervix	Cervical Carcinoma	Human Papilloma Virus-Related Cervical Squamous Cell Carcinoma
HSC-2	SIDM00590	SIDM00590;HSC-2	Head and Neck	Head and Neck Carcinoma	Oral Cavity Squamous Cell Carcinoma
RCC-JW	SIDM00817	SIDM00817;RCC-JW	Kidney	Kidney Carcinoma	Clear cell renal cell carcinoma
SNU-423	SIDM01199	SIDM01199;SNU-423	Liver	Hepatocellular Carcinoma	
ZR-75-30	SIDM00971	SIDM00971;ZR-75-30	Breast	Breast Carcinoma	Invasive Ductal Carcinoma of No Special Type
SLVL	SIDM00374	SIDM00374;SLVL	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Splenic marginal zone lymphoma
SUP-T1	SIDM01154	SIDM01154;SUP-T1	Haematopoietic and Lymphoid	T-Lymphoblastic Lymphoma	Childhood T acute lymphoblastic lymphoma
U-698-M	SIDM00424	SIDM00424;U-698-M	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	
RKN	SIDM00353	SIDM00353;RKN	Soft Tissue	Leiomyosarcoma	Ovarian Leiomyosarcoma
WIL2-NS	SIDM01102	SIDM01102;WIL2-NS	Haematopoietic and Lymphoid	Non-Cancerous	Non-Cancerous (B-lymphoblastoid)
HuCCT1	SIDM00587	SIDM00587;HuCCT1	Biliary Tract	Biliary Tract Carcinoma	Intrahepatic Cholangiocarcinoma
NCI-H28	SIDM00720	SIDM00720;NCI-H28	Lung	Mesothelioma	Pleural Sarcomatoid Mesothelioma
NCI-H2087	SIDM00708	SIDM00708;NCI-H2087	Lung	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ONS-76	SIDM00567	SIDM00567;ONS-76	Central Nervous System	Other Solid Carcinomas	Medulloblastoma
SW1783	SIDM01164	SIDM01164;SW1783	Central Nervous System	Glioma	Low Grade Glioma
NB14	SIDM00256	SIDM00256;NB14	Peripheral Nervous System	Neuroblastoma	
NCI-H1435	SIDM00658	SIDM00658;NCI-H1435	Lung	Non-Small Cell Lung Carcinoma	Lung adenocarcinoma
SK-N-AS	SIDM01101	SIDM01101;SK-N-AS	Peripheral Nervous System	Neuroblastoma	
HAL-01	SIDM00289	SIDM00289;HAL-01	Haematopoietic and Lymphoid	B-Lymphoblastic Leukemia	Childhood B acute lymphoblastic leukemia
KP-N-YN	SIDM00556	SIDM00556;KP-N-YN	Peripheral Nervous System	Neuroblastoma	
RMG-I	SIDM00352	SIDM00352;RMG-I	Ovary	Ovarian Carcinoma	Ovarian clear cell adenocarcinoma
NCI-H211	SIDM00704	SIDM00704;NCI-H211	Lung	Small Cell Lung Carcinoma	
PANC-02-03	SIDM01139	SIDM01139;PANC-02-03	Pancreas	Pancreatic Carcinoma	Pancreatic adenocarcinoma
SKG-IIIa	SIDM00381	SIDM00381;SKG-IIIa	Cervix	Cervical Carcinoma	Human Papilloma Virus-Related Cervical Squamous Cell Carcinoma
OV-90	SIDM01141	SIDM01141;OV-90	Ovary	Ovarian Carcinoma	Ovarian adenocarcinoma
KNS-62	SIDM00606	SIDM00606;KNS-62	Lung	Non-Small Cell Lung Carcinoma	Squamous Cell Lung Carcinoma
SNU-449	SIDM01194	SIDM01194;SNU-449	Liver	Hepatocellular Carcinoma	
SW1710	SIDM00420	SIDM00420;SW1710	Bladder	Bladder Carcinoma	
KYSE-510	SIDM01026	SIDM01026;KYSE-510	Esophagus	Esophageal Carcinoma	Esophageal Squamous Cell Carcinoma
NB13	SIDM00257	SIDM00257;NB13	Peripheral Nervous System	Neuroblastoma	
L-540	SIDM00329	SIDM00329;L-540	Haematopoietic and Lymphoid	Hodgkin's Lymphoma	
SNU-C2B	SIDM00781	SIDM00781;SNU-C2B	Large Intestine	Colorectal Carcinoma	Cecum adenocarcinoma
HT-29	SIDM00136	SIDM00136;HT-29	Large Intestine	Colorectal Carcinoma	Colon adenocarcinoma
TGBC11TKB	SIDM00251	SIDM00251;TGBC11TKB	Stomach	Gastric Carcinoma	
A375	SIDM00795	SIDM00795;A375	Skin	Melanoma	Cutaneous melanoma
A549	SIDM00903	SIDM00903;A549	Lung	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
Raji	SIDM00844	SIDM00844;Raji	Haematopoietic and Lymphoid	Burkitt's Lymphoma	
JVM-3	SIDM01012	SIDM01012;JVM-3	Haematopoietic and Lymphoid	Other Blood Cancers	B-Cell Prolymphocytic Leukemia
BL-41	SIDM00985	SIDM00985;BL-41	Haematopoietic and Lymphoid	Burkitt's Lymphoma	
WM1552C	SIDM00976	SIDM00976;WM1552C	Skin	Melanoma	Cutaneous melanoma
VMRC-LCD	SIDM00320	SIDM00320;VMRC-LCD	Lung	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
SK-N-SH	SIDM01098	SIDM01098;SK-N-SH	Peripheral Nervous System	Neuroblastoma	
PANC-10-05	SIDM01135	SIDM01135;PANC-10-05	Pancreas	Pancreatic Carcinoma	Pancreatic ductal adenocarcinoma
SW872	SIDM01159	SIDM01159;SW872	Soft Tissue	Other Sarcomas	Liposarcoma
NCI-H2009	SIDM00756	SIDM00756;NCI-H2009	Lung	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
KU812	SIDM00308	SIDM00308;KU812	Haematopoietic and Lymphoid	Chronic Myelogenous Leukemia	
KP-4	SIDM00301	SIDM00301;KP-4	Pancreas	Pancreatic Carcinoma	
MIA-PaCa-2	SIDM00505	SIDM00505;MIA-PaCa-2	Pancreas	Pancreatic Carcinoma	Pancreatic ductal adenocarcinoma
PSN1	SIDM00469	SIDM00469;PSN1	Pancreas	Pancreatic Carcinoma	Pancreatic adenocarcinoma
OCUB-M	SIDM00241	SIDM00241;OCUB-M	Breast	Breast Carcinoma	
NCI-H810	SIDM01116	SIDM01116;NCI-H810	Lung	Non-Small Cell Lung Carcinoma	Lung large cell carcinoma
YAPC	SIDM00411	SIDM00411;YAPC	Pancreas	Pancreatic Carcinoma	
NTERA-2-cl-D1	SIDM01203	SIDM01203;NTERA-2-cl-D1	Testis	Other Solid Carcinomas	Testicular embryonal carcinoma
MKN28	SIDM00260	SIDM00260;MKN28	Stomach	Gastric Carcinoma	Gastric tubular adenocarcinoma
SK-CO-1	SIDM01096	SIDM01096;SK-CO-1	Large Intestine	Colorectal Carcinoma	Colon adenocarcinoma
SK-MEL-1	SIDM01107	SIDM01107;SK-MEL-1	Skin	Melanoma	
NCI-H2023	SIDM00753	SIDM00753;NCI-H2023	Lung	Non-Small Cell Lung Carcinoma	Squamous Cell Lung Carcinoma
SNU-16	SIDM01145	SIDM01145;SNU-16	Stomach	Gastric Carcinoma	Gastric adenocarcinoma
MHH-ES-1	SIDM00386	SIDM00386;MHH-ES-1	Bone	Ewing's Sarcoma	
T98G	SIDM01171	SIDM01171;T98G	Central Nervous System	Glioblastoma	
NCI-H526	SIDM01128	SIDM01128;NCI-H526	Lung	Small Cell Lung Carcinoma	
NCI-H226	SIDM00139	SIDM00139;NCI-H226	Lung	Mesothelioma	Pleural Epithelioid Mesothelioma
GAMG	SIDM01055	SIDM01055;GAMG	Central Nervous System	Glioblastoma	
OVMIU	SIDM00465	SIDM00465;OVMIU	Ovary	Ovarian Carcinoma	High grade ovarian serous adenocarcinoma
SK-OV-3	SIDM00079	SIDM00079;SK-OV-3	Ovary	Ovarian Carcinoma	Ovarian Cystadenocarcinoma
SW982	SIDM01161	SIDM01161;SW982	Soft Tissue	Other Sarcomas	Synovial Sarcoma
NCI-H82	SIDM01131	SIDM01131;NCI-H82	Lung	Small Cell Lung Carcinoma	
TE-5	SIDM00347	SIDM00347;TE-5	Esophagus	Esophageal Carcinoma	Esophageal Squamous Cell Carcinoma
SH-4	SIDM01079	SIDM01079;SH-4	Skin	Melanoma	
OC-314	SIDM00220	SIDM00220;OC-314	Ovary	Ovarian Carcinoma	Ovarian serous adenocarcinoma
KYM-1	SIDM00552	SIDM00552;KYM-1	Soft Tissue	Rhabdomyosarcoma	Alveolar rhabdomyosarcoma
SK-HEP-1	SIDM01110	SIDM01110;SK-HEP-1	Liver	Hepatocellular Carcinoma	
RT-112	SIDM00402	SIDM00402;RT-112	Bladder	Bladder Carcinoma	
UACC-812	SIDM01187	SIDM01187;UACC-812	Breast	Breast Carcinoma	Invasive Ductal Carcinoma of No Special Type
G-361	SIDM00857	SIDM00857;G-361	Skin	Melanoma	
SNU-387	SIDM01180	SIDM01180;SNU-387	Liver	Hepatocellular Carcinoma	
MN-60	SIDM00438	SIDM00438;MN-60	Haematopoietic and Lymphoid	B-Lymphoblastic Leukemia	Adult B acute lymphoblastic leukemia
NCI-H1648	SIDM00746	SIDM00746;NCI-H1648	Lung	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
EW-16	SIDM00198	SIDM00198;EW-16	Bone	Ewing's Sarcoma	
C32	SIDM00890	SIDM00890;C32	Skin	Melanoma	Cutaneous melanoma
CAPAN-2	SIDM00943	SIDM00943;CAPAN-2	Pancreas	Pancreatic Carcinoma	Pancreatic ductal adenocarcinoma
OVKATE	SIDM00466	SIDM00466;OVKATE	Ovary	Ovarian Carcinoma	High grade ovarian serous adenocarcinoma
BB65-RCC	SIDM00191	SIDM00191;BB65-RCC	Kidney	Kidney Carcinoma	
OS-RC-2	SIDM00239	SIDM00239;OS-RC-2	Kidney	Kidney Carcinoma	
RPMI-8866	SIDM00482	SIDM00482;RPMI-8866	Haematopoietic and Lymphoid	Chronic Myelogenous Leukemia	
BE-13	SIDM01245	SIDM01245;BE-13	Haematopoietic and Lymphoid	T-Lymphoblastic Leukemia	Childhood T acute lymphoblastic leukemia
SCC-4	SIDM01081	SIDM01081;SCC-4	Head and Neck	Head and Neck Carcinoma	Tongue Squamous Cell Carcinoma
MFM-223	SIDM00332	SIDM00332;MFM-223	Breast	Breast Carcinoma	
LU-139	SIDM00293	SIDM00293;LU-139	Lung	Small Cell Lung Carcinoma	
KGN	SIDM00302	SIDM00302;KGN	Ovary	Other Solid Carcinomas	Ovarian Granulosa cell tumor
NCI-N87	SIDM01147	SIDM01147;NCI-N87	Stomach	Gastric Carcinoma	Gastric tubular adenocarcinoma
KYSE-180	SIDM01030	SIDM01030;KYSE-180	Esophagus	Esophageal Carcinoma	Esophageal Squamous Cell Carcinoma
CAS-1	SIDM00212	SIDM00212;CAS-1	Central Nervous System	Glioblastoma	
COLO-668	SIDM00143	SIDM00143;COLO-668	Lung	Small Cell Lung Carcinoma	
NCI-H1915	SIDM00763	SIDM00763;NCI-H1915	Lung	Non-Small Cell Lung Carcinoma	
TT	SIDM00484	SIDM00484;TT	Thyroid	Thyroid Gland Carcinoma	Hereditary thyroid gland medullary carcinoma
CCRF-CEM	SIDM00121	SIDM00121;CCRF-CEM	Haematopoietic and Lymphoid	T-Lymphoblastic Leukemia	Childhood T acute lymphoblastic leukemia
DEL	SIDM00949	SIDM00949;DEL	Haematopoietic and Lymphoid	T-Cell Non-Hodgkin's Lymphoma	Anaplastic Large Cell Lymphoma
639-V	SIDM00999	SIDM00999;639-V	Bladder	Bladder Carcinoma	
NUGC-3	SIDM00572	SIDM00572;NUGC-3	Stomach	Gastric Carcinoma	Gastric adenocarcinoma
EN	SIDM01045	SIDM01045;EN	Endometrium	Endometrial Carcinoma	
HOP-62	SIDM00133	SIDM00133;HOP-62	Lung	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ES4	SIDM00264	SIDM00264;ES4	Bone	Ewing's Sarcoma	
COR-L105	SIDM00513	SIDM00513;COR-L105	Lung	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
GB-1	SIDM00581	SIDM00581;GB-1	Central Nervous System	Glioblastoma	
LB996-RCC	SIDM00180	SIDM00180;LB996-RCC	Kidney	Kidney Carcinoma	
OVCAR-5	SIDM00091	SIDM00091;OVCAR-5	Ovary	Ovarian Carcinoma	High grade ovarian serous adenocarcinoma
SU8686	SIDM01188	SIDM01188;SU8686	Pancreas	Pancreatic Carcinoma	Pancreatic adenocarcinoma
PANC-04-03	SIDM01137	SIDM01137;PANC-04-03	Pancreas	Pancreatic Carcinoma	Pancreatic ductal adenocarcinoma
SK-LU-1	SIDM01108	SIDM01108;SK-LU-1	Lung	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
SK-MEL-28	SIDM00081	SIDM00081;SK-MEL-28	Skin	Melanoma	Cutaneous melanoma
RERF-GC-1B	SIDM00358	SIDM00358;RERF-GC-1B	Stomach	Gastric Carcinoma	Gastric adenocarcinoma
NCI-H2810	SIDM00311	SIDM00311;NCI-H2810	Lung	Mesothelioma	Pleural Epithelioid Mesothelioma
MZ1-PC	SIDM00053	SIDM00053;MZ1-PC	Pancreas	Pancreatic Carcinoma	Pancreatic ductal adenocarcinoma
HuP-T3	SIDM00533	SIDM00533;HuP-T3	Pancreas	Pancreatic Carcinoma	Pancreatic adenocarcinoma
BT-483	SIDM00892	SIDM00892;BT-483	Breast	Breast Carcinoma	Invasive Ductal Carcinoma of No Special Type
MC-IXC	SIDM01246	SIDM01246;MC-IXC	Bone	Ewing's Sarcoma	
KP-1N	SIDM00583	SIDM00583;KP-1N	Pancreas	Pancreatic Carcinoma	Pancreatic ductal adenocarcinoma
NCI-H1092	SIDM00653	SIDM00653;NCI-H1092	Lung	Small Cell Lung Carcinoma	
EFO-27	SIDM01051	SIDM01051;EFO-27	Ovary	Ovarian Carcinoma	Ovarian mucinous adenocarcinoma
SUIT-2	SIDM00371	SIDM00371;SUIT-2	Pancreas	Pancreatic Carcinoma	Pancreatic ductal adenocarcinoma
AGS	SIDM00850	SIDM00850;AGS	Stomach	Gastric Carcinoma	Gastric adenocarcinoma
KYSE-220	SIDM00551	SIDM00551;KYSE-220	Esophagus	Esophageal Carcinoma	Esophageal Squamous Cell Carcinoma
LCLC-103H	SIDM00345	SIDM00345;LCLC-103H	Lung	Non-Small Cell Lung Carcinoma	Lung large cell carcinoma
SAS	SIDM00351	SIDM00351;SAS	Head and Neck	Head and Neck Carcinoma	Tongue Squamous Cell Carcinoma
SKN-3	SIDM00375	SIDM00375;SKN-3	Head and Neck	Head and Neck Carcinoma	Oral cavity squamous cell carcinoma
SK-MEL-24	SIDM01106	SIDM01106;SK-MEL-24	Skin	Melanoma	
COLO-680N	SIDM00956	SIDM00956;COLO-680N	Esophagus	Esophageal Carcinoma	Esophageal Squamous Cell Carcinoma
LOU-NH91	SIDM00341	SIDM00341;LOU-NH91	Lung	Non-Small Cell Lung Carcinoma	Squamous Cell Lung Carcinoma
GI-ME-N	SIDM00227	SIDM00227;GI-ME-N	Peripheral Nervous System	Neuroblastoma	
SNG-M	SIDM00373	SIDM00373;SNG-M	Endometrium	Endometrial Carcinoma	Endometrial adenocarcinoma
NCI-H2085	SIDM00709	SIDM00709;NCI-H2085	Lung	Non-Small Cell Lung Carcinoma	Lung adenocarcinoma
SW1990	SIDM01165	SIDM01165;SW1990	Pancreas	Pancreatic Carcinoma	Pancreatic adenocarcinoma
HPAC	SIDM00670	SIDM00670;HPAC	Pancreas	Pancreatic Carcinoma	Pancreatic adenocarcinoma
BICR78	SIDM00501	SIDM00501;BICR78	Head and Neck	Head and Neck Carcinoma	Oral Cavity Squamous Cell Carcinoma
BFTC-909	SIDM00988	SIDM00988;BFTC-909	Kidney	Kidney Carcinoma	Renal pelvis and ureter urothelial carcinoma
KP-2	SIDM00582	SIDM00582;KP-2	Pancreas	Pancreatic Carcinoma	
CAL-39	SIDM00935	SIDM00935;CAL-39	Vulva	Vulvar carcinoma	Vulvar Squamous Cell Carcinoma
ALL-PO	SIDM00211	SIDM00211;ALL-PO	Haematopoietic and Lymphoid	B-Lymphoblastic Leukemia	Childhood B acute lymphoblastic leukemia
AsPC-1	SIDM00899	SIDM00899;AsPC-1	Pancreas	Pancreatic Carcinoma	Pancreatic ductal adenocarcinoma
CFPAC-1	SIDM00130	SIDM00130;CFPAC-1	Pancreas	Pancreatic Carcinoma	Pancreatic ductal adenocarcinoma
D-392MG	SIDM00542	SIDM00542;D-392MG	Central Nervous System	Glioblastoma	
NCI-H2803	SIDM00309	SIDM00309;NCI-H2803	Lung	Mesothelioma	Malignant Pleural Mesothelioma
LU-99A	SIDM01219	SIDM01219;LU-99A	Lung	Non-Small Cell Lung Carcinoma	Lung giant cell carcinoma
KM12	SIDM00150	SIDM00150;KM12	Large Intestine	Colorectal Carcinoma	
SJRH30	SIDM01095	SIDM01095;SJRH30	Soft Tissue	Rhabdomyosarcoma	Alveolar rhabdomyosarcoma
A2058	SIDM00797	SIDM00797;A2058	Skin	Melanoma	Cutaneous melanoma
SNU-398	SIDM01181	SIDM01181;SNU-398	Liver	Hepatocellular Carcinoma	
COLO-829	SIDM00909	SIDM00909;COLO-829	Skin	Melanoma	Cutaneous melanoma
CP50-MEL-B	SIDM00175	SIDM00175;CP50-MEL-B	Skin	Melanoma	
FLO-1	SIDM01041	SIDM01041;FLO-1	Esophagus	Esophageal Carcinoma	Esophageal Adenocarcinoma
RH-18	SIDM00454	SIDM00454;RH-18	Soft Tissue	Rhabdomyosarcoma	Embryonal Rhabdomyosarcoma
BB30-HNC	SIDM00172	SIDM00172;BB30-HNC	Head and Neck	Head and Neck Carcinoma	Head and Neck Squamous Cell Carcinoma
KP-3	SIDM00571	SIDM00571;KP-3	Pancreas	Pancreatic Carcinoma	Pancreatic adenosquamous carcinoma
PL4	SIDM00042	SIDM00042;PL4	Pancreas	Pancreatic Carcinoma	Pancreatic ductal adenocarcinoma
JSC-1	SIDM00688	SIDM00688;JSC-1	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Primary effusion lymphoma
TCCSUP	SIDM01190	SIDM01190;TCCSUP	Bladder	Bladder Carcinoma	
EMC-BAC-2	SIDM00047	SIDM00047;EMC-BAC-2	Lung	Non-Small Cell Lung Carcinoma	
JHH-6	SIDM00615	SIDM00615;JHH-6	Liver	Hepatocellular Carcinoma	
NCI-H3118	SIDM00517	SIDM00517;NCI-H3118	Head and Neck	Head and Neck Carcinoma	Parotid gland mucoepidermoid carcinoma
OVISE	SIDM00564	SIDM00564;OVISE	Ovary	Ovarian Carcinoma	Ovarian clear cell adenocarcinoma
LN-405	SIDM00343	SIDM00343;LN-405	Central Nervous System	Glioblastoma	
NCI-H1048	SIDM00654	SIDM00654;NCI-H1048	Lung	Small Cell Lung Carcinoma	
Hs-445	SIDM00668	SIDM00668;Hs-445	Haematopoietic and Lymphoid	Non-Cancerous	Non-Cancerous (B-lymphoblastoid)
SK-ES-1	SIDM01111	SIDM01111;SK-ES-1	Bone	Ewing's Sarcoma	
MFE-296	SIDM00334	SIDM00334;MFE-296	Endometrium	Endometrial Carcinoma	Endometrial adenocarcinoma
PANC-03-27	SIDM01138	SIDM01138;PANC-03-27	Pancreas	Pancreatic Carcinoma	Pancreatic adenocarcinoma
HC-1	SIDM01073	SIDM01073;HC-1	Haematopoietic and Lymphoid	Hairy Cell Leukemia	Hairy Cell Leukemia
EPLC-272H	SIDM01044	SIDM01044;EPLC-272H	Lung	Other Solid Carcinomas	Lung mucoepidermoid carcinoma
ALL-SIL	SIDM00994	SIDM00994;ALL-SIL	Haematopoietic and Lymphoid	T-Lymphoblastic Leukemia	Childhood T acute lymphoblastic leukemia
NOS-1	SIDM00242	SIDM00242;NOS-1	Bone	Osteosarcoma	
CAL-120	SIDM00940	SIDM00940;CAL-120	Breast	Breast Carcinoma	
HCC1187	SIDM00885	SIDM00885;HCC1187	Breast	Breast Carcinoma	Ductal Breast Carcinoma
HT55	SIDM00541	SIDM00541;HT55	Large Intestine	Colorectal Carcinoma	
HeLa	SIDM00846	SIDM00846;HeLa	Cervix	Cervical Carcinoma	Cervical Adenocarcinoma
NCI-H2141	SIDM00699	SIDM00699;NCI-H2141	Lung	Small Cell Lung Carcinoma	
ATN-1	SIDM00233	SIDM00233;ATN-1	Haematopoietic and Lymphoid	T-Lymphoblastic Leukemia	Adult T acute lymphoblastic leukemia
CAPAN-1	SIDM00934	SIDM00934;CAPAN-1	Pancreas	Pancreatic Carcinoma	Pancreatic ductal adenocarcinoma
LS-411N	SIDM00660	SIDM00660;LS-411N	Large Intestine	Colorectal Carcinoma	Cecum adenocarcinoma
MS751	SIDM00638	SIDM00638;MS751	Cervix	Cervical Carcinoma	Human Papilloma Virus-Related Cervical Squamous Cell Carcinoma
HT-3	SIDM00679	SIDM00679;HT-3	Cervix	Cervical Carcinoma	Cervical Carcinoma
C3A	SIDM01237	SIDM01237;C3A	Liver	Hepatocellular Carcinoma	Hepatoblastoma
CAL-51	SIDM00933	SIDM00933;CAL-51	Breast	Breast Carcinoma	
OSC-20	SIDM00565	SIDM00565;OSC-20	Head and Neck	Head and Neck Carcinoma	Oral Cavity Squamous Cell Carcinoma
HuP-T4	SIDM00531	SIDM00531;HuP-T4	Pancreas	Pancreatic Carcinoma	Pancreatic adenocarcinoma
KY821	SIDM00553	SIDM00553;KY821	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Acute Myelomonocytic Leukemia
BALL-1	SIDM00287	SIDM00287;BALL-1	Haematopoietic and Lymphoid	B-Lymphoblastic Leukemia	Adult B acute lymphoblastic leukemia
KMOE-2	SIDM01019	SIDM01019;KMOE-2	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Erythroleukemia
NB(TU)1-10	SIDM00579	SIDM00579;NB(TU)1-10	Peripheral Nervous System	Neuroblastoma	
DU-4475	SIDM01001	SIDM01001;DU-4475	Breast	Breast Carcinoma	
42-MG-BA	SIDM00982	SIDM00982;42-MG-BA	Central Nervous System	Glioblastoma	
P32-ISH	SIDM00362	SIDM00362;P32-ISH	Haematopoietic and Lymphoid	Burkitt's Lymphoma	
DMS-273	SIDM00522	SIDM00522;DMS-273	Lung	Small Cell Lung Carcinoma	
IMR-5	SIDM01206	SIDM01206;IMR-5	Peripheral Nervous System	Neuroblastoma	
HuO-3N1	SIDM00584	SIDM00584;HuO-3N1	Bone	Osteosarcoma	
H9	SIDM01251	SIDM01251;H9	Haematopoietic and Lymphoid	T-Cell Non-Hodgkin's Lymphoma	Cutaneous T-Cell Lymphoma
JiyoyeP-2003	SIDM00808	SIDM00808;JiyoyeP-2003	Haematopoietic and Lymphoid	Burkitt's Lymphoma	
ASH-3	SIDM00491	SIDM00491;ASH-3	Thyroid	Thyroid Gland Carcinoma	Thyroid gland anaplastic carcinoma
WM278	SIDM00975	SIDM00975;WM278	Skin	Melanoma	
